Frame Count, Data Count, Touch Flag, Time, PPG 0, PPG 1, PPG 2, HR, SG, RET, 
12, 7, 1, 9.30, 12061307, 74017023, 2546123, 74.7951, 49, MSG_HR_READY, 
12, 8, 1, 9.30, 12057187, 74004601, 2546499, 74.7951, 49, MSG_HR_READY, 
12, 9, 1, 9.30, 12052429, 73982541, 2545053, 74.7951, 49, MSG_HR_READY, 
12, 10, 1, 9.30, 12044443, 73956947, 2542501, 74.7951, 49, MSG_HR_READY, 
12, 11, 1, 9.30, 12031669, 73921075, 2538127, 74.7951, 49, MSG_HR_READY, 
12, 12, 1, 9.30, 12020363, 73880167, 2532667, 74.7951, 49, MSG_HR_READY, 
12, 13, 1, 9.30, 12003595, 73840225, 2526403, 74.7951, 49, MSG_HR_READY, 
12, 14, 1, 9.30, 11992961, 73811313, 2518871, 74.7951, 49, MSG_HR_READY, 
12, 15, 1, 9.30, 11980983, 73774475, 2510483, 74.7951, 49, MSG_HR_READY, 
12, 16, 1, 9.30, 11965941, 73730677, 2503683, 74.7951, 49, MSG_HR_READY, 
12, 17, 1, 9.30, 11955051, 73714293, 2495847, 74.7951, 49, MSG_HR_READY, 
12, 18, 1, 9.30, 11943521, 73680561, 2488351, 74.7951, 49, MSG_HR_READY, 
12, 19, 1, 9.30, 11935089, 73663963, 2480517, 74.7951, 49, MSG_HR_READY, 
13, 0, 1, 9.90, 11931513, 73633873, 2473967, 74.95844, 49, MSG_HR_READY, 
13, 1, 1, 9.90, 11926529, 73656575, 2468915, 74.95844, 49, MSG_HR_READY, 
13, 2, 1, 9.90, 11913787, 73607529, 2464989, 74.95844, 49, MSG_HR_READY, 
13, 3, 1, 9.90, 11913595, 73600569, 2458545, 74.95844, 49, MSG_HR_READY, 
13, 4, 1, 9.90, 11907751, 73599927, 2453655, 74.95844, 49, MSG_HR_READY, 
13, 5, 1, 9.90, 11903535, 73582579, 2448891, 74.95844, 49, MSG_HR_READY, 
13, 6, 1, 9.90, 11899957, 73564053, 2445303, 74.95844, 49, MSG_HR_READY, 
13, 7, 1, 9.90, 11897913, 73554309, 2440769, 74.95844, 49, MSG_HR_READY, 
13, 8, 1, 9.90, 11897595, 73549275, 2437271, 74.95844, 49, MSG_HR_READY, 
13, 9, 1, 9.90, 11898681, 73544135, 2434451, 74.95844, 49, MSG_HR_READY, 
13, 10, 1, 9.90, 11895487, 73537709, 2431435, 74.95844, 49, MSG_HR_READY, 
13, 11, 1, 9.90, 11898169, 73556021, 2428865, 74.95844, 49, MSG_HR_READY, 
13, 12, 1, 9.90, 11899127, 73548847, 2426527, 74.95844, 49, MSG_HR_READY, 
13, 13, 1, 9.90, 11898137, 73553559, 2425493, 74.95844, 49, MSG_HR_READY, 
13, 14, 1, 9.90, 11900757, 73547027, 2423083, 74.95844, 49, MSG_HR_READY, 
13, 15, 1, 9.90, 11899479, 73558377, 2422511, 74.95844, 49, MSG_HR_READY, 
13, 16, 1, 9.90, 11903055, 73572513, 2420531, 74.95844, 49, MSG_HR_READY, 
13, 17, 1, 9.90, 11904557, 73566087, 2420853, 74.95844, 49, MSG_HR_READY, 
13, 18, 1, 9.90, 11905643, 73552701, 2418211, 74.95844, 49, MSG_HR_READY, 
13, 19, 1, 9.90, 11905451, 73551845, 2418781, 74.95844, 49, MSG_HR_READY, 
14, 0, 1, 9.90, 11906505, 73560627, 2416265, 74.97886, 49, MSG_HR_READY, 
14, 1, 1, 9.90, 11905867, 73559983, 2416533, 74.97886, 49, MSG_HR_READY, 
